Name,Time,Cumulative PnL
AS,2019-Jan-30 18:44:45.789381,103808.6096
AS,2019-Jan-30 18:45:47.961306,69714.30875
AS,2019-Jan-30 18:46:49.618215,69662.90795
AS,2019-Jan-30 18:47:50.689922,58191.67714
AS,2019-Jan-30 18:48:51.564316,39022.71234
AS,2019-Jan-30 18:49:53.194940,27464.98675
AS,2019-Jan-30 18:50:54.605321,58217.05195
AS,2019-Jan-30 18:51:55.642892,42764.39234
AS,2019-Jan-30 18:52:58.269281,54325.08195
AS,2019-Jan-30 18:54:01.628475,85243.94554
AS,2019-Jan-30 18:55:02.872924,96793.73875
AS,2019-Jan-30 18:56:03.485524,65609.09035
AS,2019-Jan-30 18:57:08.033044,100793.7467
AS,2019-Jan-30 18:58:10.806042,88994.01435
AS,2019-Jan-30 18:59:11.174575,65349.42155
AS,2019-Jan-30 19:00:13.966821,600752.2275
AS,2019-Jan-30 19:01:14.205412,380550.5751
AS,2019-Jan-30 19:02:14.316506,379685.2416
AS,2019-Jan-30 19:03:14.902032,463639.5012
AS,2019-Jan-30 19:04:15.038159,666278.7456
AS,2019-Jan-30 19:05:15.213016,759784.2483
AS,2019-Jan-30 19:06:16.096249,661088.4047
AS,2019-Jan-30 19:07:16.541095,669601.0055
AS,2019-Jan-30 19:08:16.869945,604212.5296
AS,2019-Jan-30 19:09:17.571685,700324.1896
AS,2019-Jan-30 19:10:18.614106,625387.5076
AS,2019-Jan-30 19:11:19.206483,714073.0824
AS,2019-Jan-30 19:12:19.447120,767429.7307
AS,2019-Jan-30 19:13:19.858540,803217.1628
AS,2019-Jan-30 19:14:20.762650,870916.6828
AS,2019-Jan-30 19:15:21.670887,815953.0932
AS,2019-Jan-30 19:16:22.796877,852979.406
AS,2019-Jan-30 19:17:23.810718,885154.2124
AS,2019-Jan-30 19:18:23.932763,852397.9072
AS,2019-Jan-30 19:19:25.153505,894494.7236
AS,2019-Jan-30 19:20:26.158340,917847.5344
AS,2019-Jan-30 19:21:26.964487,1035777.449
AS,2019-Jan-30 19:22:27.494786,1106918.83
AS,2019-Jan-30 19:23:28.225012,1106796.02
AS,2019-Jan-30 19:24:28.409148,1082656.092
AS,2019-Jan-30 19:25:28.894448,1082707.051
AS,2019-Jan-30 19:26:29.643578,1034189.897
AS,2019-Jan-30 19:27:32.246784,936727.74
AS,2019-Jan-30 19:28:32.474255,907341.5868
AS,2019-Jan-30 19:29:33.592899,887586.06
AS,2019-Jan-30 19:30:34.025257,912297.4667
AS,2019-Jan-30 19:31:34.523531,867497.5355
AS,2019-Jan-30 19:32:35.457786,852575.1372
AS,2019-Jan-30 19:33:37.872145,817418.354
AS,2019-Jan-30 19:34:38.659962,938178.986
AS,2019-Jan-30 19:35:39.385924,912731.8436
AS,2019-Jan-30 19:36:40.416509,816170.038
AS,2019-Jan-30 19:37:40.688787,913755.984
AS,2019-Jan-30 19:38:40.871631,960278.7012
AS,2019-Jan-30 19:39:41.630829,866439.2264
AS,2019-Jan-30 19:40:42.454138,850641.3868
AS,2019-Jan-30 19:41:44.227459,866320.3712
AS,2019-Jan-30 19:42:46.288367,876708.444
AS,2019-Jan-30 19:43:46.913761,850340.7952
AS,2019-Jan-30 19:44:47.983518,945954.5416
AS,2019-Jan-30 19:45:50.249355,903222.4812
AS,2019-Jan-30 19:46:52.597815,1047517.959
AS,2019-Jan-30 19:47:54.091557,1084832.695
AS,2019-Jan-30 19:48:54.515796,1111747.978
AS,2019-Jan-30 19:49:57.822585,1117099.118
AS,2019-Jan-30 19:50:58.693774,1035805.72
AS,2019-Jan-30 19:51:59.546888,1035781.451
AS,2019-Jan-30 19:53:00.441499,1297296.457
AS,2019-Jan-30 19:54:00.986172,1363065.549
AS,2019-Jan-30 19:55:01.505198,1363031.795
AS,2019-Jan-30 19:56:02.525739,1346446.474
AS,2019-Jan-30 19:57:03.977801,1385032.434
AS,2019-Jan-30 19:58:04.850766,1401612.808
AS,2019-Jan-30 19:59:06.746904,1490769.247
AS,2019-Jan-30 20:00:08.480715,1451676.932
AS,2019-Jan-30 20:01:09.594736,1451666.893
AS,2019-Jan-30 20:02:11.079707,1373162.722
AS,2019-Jan-30 20:03:12.587930,1344999.949
AS,2019-Jan-30 20:04:13.111887,1260425.128
AS,2019-Jan-30 20:05:13.422368,1175451.041
AS,2019-Jan-30 20:24:39.090541,891977.8752
AS,2019-Jan-30 20:25:41.638094,831937.67
AS,2019-Jan-30 20:26:44.446799,861985.906
AS,2019-Jan-30 20:27:44.966705,849909.732
AS,2019-Jan-30 20:28:45.831394,994465.1624
AS,2019-Jan-30 20:29:47.015560,909824.5708
AS,2019-Jan-30 20:30:47.295159,849379.476
AS,2019-Jan-30 20:31:49.842300,891961.1304
AS,2019-Jan-30 20:32:50.626800,836775.7656
AS,2019-Jan-30 20:33:52.293329,799902.8616
AS,2019-Jan-30 20:34:53.832783,682857.2112
