Name,Time,Cumulative PnL
OfiStrategy,2022-May-02 16:25:31.364888,544081.094099
OfiStrategy,2022-May-02 16:26:31.437917,542637.094099
OfiStrategy,2022-May-02 16:27:31.547450,536716.694099
OfiStrategy,2022-May-02 16:28:31.859015,539027.094099
OfiStrategy,2022-May-02 16:29:32.034714,540326.694099
OfiStrategy,2022-May-02 16:30:32.281875,544803.094099
OfiStrategy,2022-May-02 16:31:32.358915,538305.094099
OfiStrategy,2022-May-02 16:32:32.443764,545669.494099
OfiStrategy,2022-May-02 16:33:32.539310,547113.494099
OfiStrategy,2022-May-02 16:34:32.624950,545236.294099
OfiStrategy,2022-May-02 16:35:32.672857,546391.494099
OfiStrategy,2022-May-02 16:36:32.834973,542637.094099
OfiStrategy,2022-May-02 16:37:32.954201,538449.494099
OfiStrategy,2022-May-02 16:38:33.008197,539749.094099
OfiStrategy,2022-May-02 16:39:33.082851,535417.094099
OfiStrategy,2022-May-02 16:40:33.150498,537583.094099
OfiStrategy,2022-May-02 16:41:33.466675,532673.494099
OfiStrategy,2022-May-02 16:42:33.494870,530074.294099
OfiStrategy,2022-May-02 16:43:33.576894,528919.094099
OfiStrategy,2022-May-02 16:44:33.665884,528774.694099
OfiStrategy,2022-May-02 16:45:33.744560,526608.694099
OfiStrategy,2022-May-02 16:46:33.851475,525597.894099
OfiStrategy,2022-May-02 16:47:33.881423,529496.694099
OfiStrategy,2022-May-02 16:48:34.100873,527186.294099
OfiStrategy,2022-May-02 16:49:34.204756,526897.494099
OfiStrategy,2022-May-02 16:50:34.292187,526464.294099
OfiStrategy,2022-May-02 16:51:34.370362,526608.694099
OfiStrategy,2022-May-02 16:52:34.606648,523143.094099
OfiStrategy,2022-May-02 16:53:34.666010,521265.894099
OfiStrategy,2022-May-02 16:54:34.712478,513468.294099
OfiStrategy,2022-May-02 16:55:34.743921,513035.094099
OfiStrategy,2022-May-02 16:56:34.861842,515778.694099
OfiStrategy,2022-May-02 16:57:34.930909,516211.894099
OfiStrategy,2022-May-02 16:58:35.230392,508018.614099
OfiStrategy,2022-May-02 16:59:35.334964,504378.334099
OfiStrategy,2022-May-02 17:00:35.441115,502499.654099
OfiStrategy,2022-May-02 17:01:35.666300,501860.956499
OfiStrategy,2022-May-02 17:02:35.743655,502560.521299
OfiStrategy,2022-May-02 17:03:36.040168,446021.752499
OfiStrategy,2022-May-02 17:04:36.133370,433147.710899
OfiStrategy,2022-May-02 17:05:36.195283,516634.230899
OfiStrategy,2022-May-02 17:06:36.395035,481313.010899
OfiStrategy,2022-May-02 17:07:36.460101,539111.370899
OfiStrategy,2022-May-02 17:08:36.642383,640258.500899
OfiStrategy,2022-May-02 17:09:36.836299,545533.410899
OfiStrategy,2022-May-02 17:10:37.139929,606542.790899
OfiStrategy,2022-May-02 17:11:37.190874,683607.270899
OfiStrategy,2022-May-02 17:12:37.256570,645075.030899
OfiStrategy,2022-May-02 17:13:37.669340,603331.770899
OfiStrategy,2022-May-02 17:14:37.838007,635441.970899
OfiStrategy,2022-May-02 17:15:37.866689,638652.990899
OfiStrategy,2022-May-02 17:16:37.946295,638652.990899
OfiStrategy,2022-May-02 17:17:37.981185,587276.670899
OfiStrategy,2022-May-02 17:18:38.031910,587276.670899
OfiStrategy,2022-May-02 17:19:38.070626,580854.630899
OfiStrategy,2022-May-02 17:20:38.134170,571221.570899
OfiStrategy,2022-May-02 17:21:38.222744,548744.430899
OfiStrategy,2022-May-02 17:22:38.426298,518239.740899
OfiStrategy,2022-May-02 17:23:38.646851,535900.350899
OfiStrategy,2022-May-02 17:24:39.063666,516634.230899
OfiStrategy,2022-May-02 17:25:39.256762,580854.630899
OfiStrategy,2022-May-02 17:26:39.397764,569616.060899
OfiStrategy,2022-May-02 17:27:39.528389,505395.660899
OfiStrategy,2022-May-02 17:28:39.750259,487735.050899
OfiStrategy,2022-May-02 17:29:39.808329,455624.850899
OfiStrategy,2022-May-02 17:30:39.855610,535900.350899
OfiStrategy,2022-May-02 17:31:40.043830,521450.760899
OfiStrategy,2022-May-02 17:32:40.168167,495762.600899
OfiStrategy,2022-May-02 17:33:40.329253,436358.730899
OfiStrategy,2022-May-02 17:34:40.534979,421909.140899
OfiStrategy,2022-May-02 17:35:41.018243,405854.040899
OfiStrategy,2022-May-02 17:36:41.069146,431542.200899
OfiStrategy,2022-May-02 17:37:41.264726,450808.320899
OfiStrategy,2022-May-02 17:38:41.323239,415487.100899
OfiStrategy,2022-May-02 17:39:41.845541,397531.650899
OfiStrategy,2022-May-02 17:40:41.915407,428745.630899
OfiStrategy,2022-May-02 17:41:42.039390,464323.320899
OfiStrategy,2022-May-02 17:42:42.060542,413765.550899
OfiStrategy,2022-May-02 17:43:42.242729,423240.060899
OfiStrategy,2022-May-02 17:44:42.251542,356651.589299
OfiStrategy,2022-May-02 17:45:42.331808,288879.122099
OfiStrategy,2022-May-02 17:46:42.511397,204669.782099
OfiStrategy,2022-May-02 17:47:42.665328,198173.162099
OfiStrategy,2022-May-02 17:48:42.824027,179897.182099
OfiStrategy,2022-May-02 17:49:42.849148,167462.182099
OfiStrategy,2022-May-02 17:50:42.893136,207875.932099
OfiStrategy,2022-May-02 17:51:43.072728,148809.682099
OfiStrategy,2022-May-02 17:52:43.261577,173679.682099
OfiStrategy,2022-May-02 17:53:43.491077,120156.508099
OfiStrategy,2022-May-02 17:54:43.766309,149278.418099
OfiStrategy,2022-May-02 17:55:43.840463,265952.618099
OfiStrategy,2022-May-02 17:56:43.993882,236784.068099
OfiStrategy,2022-May-02 17:57:44.638245,256229.768099
OfiStrategy,2022-May-02 17:58:44.718416,265952.618099
OfiStrategy,2022-May-02 17:59:44.809794,288639.268099
OfiStrategy,2022-May-02 18:00:45.005971,159001.268099
OfiStrategy,2022-May-02 18:01:45.020201,139555.568099
OfiStrategy,2022-May-02 18:02:45.067894,389108.718099
