Name,Time,Cumulative PnL
Sigmoid,2019-Jan-30 17:44:13.285448,-10954.728583
Sigmoid,2019-Jan-30 17:45:14.923238,-11545.055206
Sigmoid,2019-Jan-30 17:46:17.639001,-11082.589816
Sigmoid,2019-Jan-30 17:47:19.139281,-11537.299454
Sigmoid,2019-Jan-30 17:48:20.603237,-11896.988433
Sigmoid,2019-Jan-30 17:49:24.290991,-12169.242637
Sigmoid,2019-Jan-30 17:50:28.595312,-13283.411895
Sigmoid,2019-Jan-30 17:51:31.574715,-13036.506465
Sigmoid,2019-Jan-30 17:52:33.711435,-13352.958457
Sigmoid,2019-Jan-30 17:53:40.142913,-13205.021390
Sigmoid,2019-Jan-30 17:54:41.062096,-12181.348373
Sigmoid,2019-Jan-30 17:55:45.110459,-10775.798493
Sigmoid,2019-Jan-30 17:56:47.625421,-11849.544162
Sigmoid,2019-Jan-30 17:57:50.778934,-11981.532405
Sigmoid,2019-Jan-30 17:58:52.604848,-11960.524635
Sigmoid,2019-Jan-30 17:59:56.750738,-11593.691970
Sigmoid,2019-Jan-30 18:00:57.219481,-11069.028972
Sigmoid,2019-Jan-30 18:02:00.005071,-11512.510097
Sigmoid,2019-Jan-30 18:03:04.902454,-11515.438167
Sigmoid,2019-Jan-30 18:04:11.469006,-11640.973393
Sigmoid,2019-Jan-30 18:05:16.344402,-12035.839286
Sigmoid,2019-Jan-30 18:06:16.794842,-12325.921579
Sigmoid,2019-Jan-30 18:07:20.665224,-13054.619169
Sigmoid,2019-Jan-30 18:08:22.764630,-12068.799247
Sigmoid,2019-Jan-30 18:09:25.250565,-13230.726987
Sigmoid,2019-Jan-30 18:10:30.754963,-12795.432304
Sigmoid,2019-Jan-30 18:11:33.634723,-13091.791851
Sigmoid,2019-Jan-30 18:12:34.576914,-13576.578202
Sigmoid,2019-Jan-30 18:13:40.112822,-12356.988182
Sigmoid,2019-Jan-30 18:14:43.349992,-12349.425813
Sigmoid,2019-Jan-30 18:15:45.861058,-12037.683424
Sigmoid,2019-Jan-30 18:16:50.441594,-12049.868880
Sigmoid,2019-Jan-30 18:17:53.377188,-12311.989475
Sigmoid,2019-Jan-30 18:18:57.357534,-11671.858797
Sigmoid,2019-Jan-30 18:19:58.015508,-11219.101328
Sigmoid,2019-Jan-30 18:20:58.591539,-10285.668897
Sigmoid,2019-Jan-30 18:21:59.255249,-10558.167491
Sigmoid,2019-Jan-30 18:23:00.095245,-9960.948077
Sigmoid,2019-Jan-30 18:24:02.803737,-10064.053325
Sigmoid,2019-Jan-30 18:25:04.967874,-10229.545940
Sigmoid,2019-Jan-30 18:26:06.609722,-10312.053128
Sigmoid,2019-Jan-30 18:27:07.199748,-10431.555350
Sigmoid,2019-Jan-30 18:28:10.051582,-10151.196051
Sigmoid,2019-Jan-30 18:29:12.216677,-10452.374715
Sigmoid,2019-Jan-30 18:30:12.944888,-10378.149675
Sigmoid,2019-Jan-30 18:31:14.077150,-10717.272633
Sigmoid,2019-Jan-30 18:32:17.313967,-10544.005161
Sigmoid,2019-Jan-30 18:33:18.285016,-10497.145377
Sigmoid,2019-Jan-30 18:34:20.000271,-10408.744004
Sigmoid,2019-Jan-30 18:35:24.919685,-10420.068242
Sigmoid,2019-Jan-30 18:36:26.920179,-10399.085619
Sigmoid,2019-Jan-30 18:37:32.966627,-10540.622805
Sigmoid,2019-Jan-30 18:38:34.204868,-10563.722067
Sigmoid,2019-Jan-30 18:39:36.802338,-10426.379592
Sigmoid,2019-Jan-30 18:40:38.324633,-10545.965608
Sigmoid,2019-Jan-30 18:41:39.219328,-10425.725138
Sigmoid,2019-Jan-30 18:42:42.236604,-10158.705175
Sigmoid,2019-Jan-30 18:43:43.613444,-10136.551976
Sigmoid,2019-Jan-30 18:44:45.789381,-9959.401420
Sigmoid,2019-Jan-30 18:45:47.961306,-10060.668373
Sigmoid,2019-Jan-30 18:46:49.618215,-10087.809912
Sigmoid,2019-Jan-30 18:47:50.689922,-10188.393226
Sigmoid,2019-Jan-30 18:48:51.564316,-10440.127903
Sigmoid,2019-Jan-30 18:49:53.194940,-10624.062302
Sigmoid,2019-Jan-30 18:50:54.605321,-10200.275962
Sigmoid,2019-Jan-30 18:51:55.642892,-10353.963539
Sigmoid,2019-Jan-30 18:52:58.269281,-10237.986460
Sigmoid,2019-Jan-30 18:54:01.628475,-9989.725934
Sigmoid,2019-Jan-30 18:55:02.872924,-9970.329777
Sigmoid,2019-Jan-30 18:56:03.485524,-10117.244632
Sigmoid,2019-Jan-30 18:57:08.033044,-9943.970145
Sigmoid,2019-Jan-30 18:58:10.806042,-9964.121334
Sigmoid,2019-Jan-30 18:59:11.174575,-10054.098052
Sigmoid,2019-Jan-30 19:00:13.966821,-18641.860068
Sigmoid,2019-Jan-30 19:01:14.205412,-15186.103432
Sigmoid,2019-Jan-30 19:02:14.316506,-14844.834679
Sigmoid,2019-Jan-30 19:03:14.902032,-16751.563938
Sigmoid,2019-Jan-30 19:04:15.038159,-22168.530228
Sigmoid,2019-Jan-30 19:05:15.213016,-25266.830064
Sigmoid,2019-Jan-30 19:06:16.096249,-22046.588742
Sigmoid,2019-Jan-30 19:07:16.541095,-22585.355280
Sigmoid,2019-Jan-30 19:08:16.869945,-20233.301462
Sigmoid,2019-Jan-30 19:09:17.571685,-23390.133269
Sigmoid,2019-Jan-30 19:10:18.614106,-21347.234806
Sigmoid,2019-Jan-30 19:11:19.206483,-23870.243258
Sigmoid,2019-Jan-30 19:12:19.447120,-25568.471001
Sigmoid,2019-Jan-30 19:13:19.858540,-26210.297634
Sigmoid,2019-Jan-30 19:14:20.762650,-28913.860458
Sigmoid,2019-Jan-30 19:15:21.670887,-26690.561764
Sigmoid,2019-Jan-30 19:16:22.796877,-28358.394031
Sigmoid,2019-Jan-30 19:17:23.810718,-29166.200818
Sigmoid,2019-Jan-30 19:18:23.932763,-28416.942912
Sigmoid,2019-Jan-30 19:19:25.153505,-30090.883039
Sigmoid,2019-Jan-30 19:20:26.158340,-30119.677440
Sigmoid,2019-Jan-30 19:21:26.964487,-35059.456290
Sigmoid,2019-Jan-30 19:22:27.494786,-38206.453062
Sigmoid,2019-Jan-30 19:23:28.225012,-38725.708603
Sigmoid,2019-Jan-30 19:24:28.409148,-36556.072782
Sigmoid,2019-Jan-30 19:25:28.894448,-36933.508579
Sigmoid,2019-Jan-30 19:26:29.643578,-35246.190610
Sigmoid,2019-Jan-30 19:27:32.246784,-31893.485103
Sigmoid,2019-Jan-30 19:28:32.474255,-31356.781331
Sigmoid,2019-Jan-30 19:29:33.592899,-30963.894133
Sigmoid,2019-Jan-30 19:30:34.025257,-31865.111757
Sigmoid,2019-Jan-30 19:31:34.523531,-30281.065218
Sigmoid,2019-Jan-30 19:32:35.457786,-29983.313878
Sigmoid,2019-Jan-30 19:33:37.872145,-29390.151998
Sigmoid,2019-Jan-30 19:34:38.659962,-31795.911155
Sigmoid,2019-Jan-30 19:35:39.385924,-31789.261697
Sigmoid,2019-Jan-30 19:36:40.416509,-29119.448999
Sigmoid,2019-Jan-30 19:37:40.688787,-31469.424955
